seed,trial,n,m,rank_requested,rank_used,k_ratio,svd_topk_err,random_AB_err,rand_svd_subspace_err,leverage_col_err,random_colprune_err,params_svd_topk,params_random_AB,nnz_svd_col,topk_energy
0,11,128,64,32,32,0.5,0.4521181244399251,1.418942535682858,0.7318273883253418,0.6731395465616413,0.7037046481611289,6176,6144,4096,0.7955892015529245
0,12,128,64,32,32,0.5,0.45775292409332685,1.4243686949661827,0.7397334422972746,0.6690002236908458,0.7048574102458528,6176,6144,4096,0.7904622604840089
0,13,128,64,32,32,0.5,0.4569531592400827,1.4170248443536,0.6881540080072311,0.673926675572671,0.7067320031510359,6176,6144,4096,0.7911938102605078
0,14,128,64,32,32,0.5,0.46282251519369705,1.410415758558191,0.674261388787378,0.6678957061138451,0.7140237534067774,6176,6144,4096,0.78579531942978
0,15,128,64,32,32,0.5,0.45479542579943877,1.3980532736129316,0.7191027751897006,0.6706045824412384,0.7027839089527546,6176,6144,4096,0.7931611206719074
0,16,128,64,32,32,0.5,0.45738639705645084,1.426960284988635,0.6849188998705762,0.6680712820251277,0.6957631892801768,6176,6144,4096,0.7907976837877188
0,17,128,64,32,32,0.5,0.45739607418001477,1.4139385093619117,0.7772131668586235,0.6741475218190696,0.7084456040512139,6176,6144,4096,0.7907888313247106
0,18,128,64,32,32,0.5,0.46102002176317886,1.4137359422680376,0.6691169018649734,0.669525284799106,0.6956215405513176,6176,6144,4096,0.7874605395334782
0,19,128,64,32,32,0.5,0.4498595221315083,1.405338330294246,0.6819091727571382,0.6728839698797768,0.7075266161285563,6176,6144,4096,0.7976264103476108
0,20,128,64,32,32,0.5,0.459048809429999,1.419892713137156,0.6612492437373223,0.6774530065134977,0.7081958245830096,6176,6144,4096,0.7892741905609005
0,21,128,64,32,32,0.5,0.451783597879772,1.4340491584187824,0.7338736678994996,0.6654327439770897,0.7124886154202864,6176,6144,4096,0.7958915806868085
